Scenario,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
S17,-137.8630124442779,-307.33154109017136,-82.35962480087267,-89.95203630881576,40.56144082377955,108.17974371190076,93.40407075932333,79.33049741382803,52.29477024122531,48.889969529546384,20.57767731361393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S18,-201.19705857757708,-443.3123293451402,-331.9933497323717,-307.66629884199403,-249.6568466623259,-154.7002226391072,-103.19053298843173,-59.52816017675744,-116.10603663581998,-72.75019797003957,-94.64943470720843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S19,-269.1464981341767,-469.4237532525136,-418.65254464829604,-352.2770204084509,-324.9856992150555,-177.90751865159748,-177.18844021522884,-60.90415522290371,-133.2956909580343,-75.69237449005772,-107.42182525946875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20,-325.2868338042063,-582.5458595592323,-529.1850446912817,-458.062865376327,-381.1085993972654,-242.53849679967487,-229.3675803983426,-93.2510844798955,-132.51169947230147,-85.07745183638792,-116.78685661240706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S21,-367.86004520801896,-646.9453025914049,-586.045826879797,-517.7039082313826,-468.86231934247746,-287.09820566345456,-254.9434639161703,-144.8783483120124,-134.34379507028814,-111.28436722544954,-138.2928658777609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S22,-384.5378109971165,-709.8329138334378,-675.4552802990048,-548.8486006854885,-502.11938629482944,-313.33795018868926,-259.85059476590067,-163.369583714708,-145.01157349695325,-125.83766439752165,-152.4549057854543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S23,-384.1075357826469,-714.704233424186,-677.8579588682519,-554.8304040478911,-519.2942219165318,-328.43776710448225,-276.89965115363077,-174.15481111022046,-163.16961744917256,-133.93119851988365,-163.83547630895868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S24,-384.1561724834932,-715.9132430784539,-678.9324632283567,-555.9550808821996,-521.4885411695462,-329.92976201363433,-278.26397873039707,-175.54537423907846,-164.70995044726953,-135.2729962005057,-163.89565834450127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S25,-124.61535099746612,-205.58665055629177,49.08120689100315,-11.142930641163673,124.5026240990228,137.5964550407076,186.0395923878393,110.60951709610478,73.65430174152543,52.03660982510705,33.40780645850483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S26,-123.9656785929455,-356.23171426372124,-238.9251766464966,-251.9736898135676,-161.82542148083456,-4.481914187977054,-91.48669205194082,-17.60952282914019,-90.24474005212468,-51.31799505154255,-83.24239913622566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S27,-219.78435493170423,-366.1611568851484,-388.4540667050729,-245.50280304326577,-189.97972465409418,-57.78927238805309,-126.22202899439117,-20.352439285062474,-94.15403144910606,-54.708621333971585,-91.73202882028741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S28,-253.29707313789385,-446.61950487839164,-418.3914127471908,-262.41654045382035,-222.9506873259055,-84.25006454936579,-160.33139216040837,-43.26466454412525,-79.14302630919856,-50.61616671472802,-88.47781231312845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S29,-243.82381367684758,-499.7350224085366,-435.72067640130285,-331.8806008626325,-283.989214385997,-128.74163651263615,-152.62638169765808,-97.16105020533305,-73.66631816334035,-44.9606263921174,-116.52550560402331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S30,-258.808998232567,-462.15223823613627,-472.41887418032036,-329.74672323334175,-295.86968813627124,-161.50825196032415,-114.45643053562549,-69.55058573133499,-46.909496989304245,-41.09208524711239,-108.7544189065075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S31,-261.2137913785091,-456.67134858918956,-473.3720193652289,-342.8810527473587,-327.66375916024515,-176.51886312727427,-95.5069239850026,-66.47426913211518,-33.411216779267505,-28.406995926963496,-98.13892485730946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S32,-289.4299975761854,-456.84980858437285,-469.7339352248804,-343.04671802986064,-327.6236469255096,-174.46050155593795,-102.97261086244802,-66.51343346884175,-30.83272869152509,-29.71798932338121,-97.46342672321884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S33,0.3173106684926097,-131.3781902402127,-38.19718393069138,-44.564306373757745,-37.07956978124116,17.62823591725038,114.3057092637747,60.50994017822475,-13.686179741389637,42.59958002412123,8.338840257523739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S34,-0.9198943486197209,-132.2265966672589,-28.922567781563657,-53.18478543811267,-50.509863071525274,-8.257869523031758,43.53930937266526,-16.097902745041637,-84.0792476374812,-60.856307925051034,-42.02439712373662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S35,-1.136223805886516,-131.3312233825954,-48.504261233013324,-52.55498678905468,-67.96482318633679,-11.010689507326532,18.43898674792399,-25.612300260704046,-89.16225638078323,-65.14104346550376,-49.73214922880098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S36,-0.8985121048965539,-131.35526706663114,-48.36811686543285,-58.2797030652884,-69.88535637429294,-12.70566278190799,13.41526310695329,-54.36426947817807,-88.78625953120789,-68.84166613813214,-57.66776717103505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S37,-1.0814926451701012,-131.26891214454162,-38.62850281849717,-56.867213590628296,-73.1684348418753,-12.670759807509313,5.947466696710535,-60.26701977541293,-99.92458015454986,-79.29885464008012,-60.767874092488405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S38,-0.8948276361593344,-131.2748910617998,-38.67007349316509,-57.87774238784493,-72.8961381842268,-12.45879293811214,8.635528357842759,-62.340691754918964,-102.37700356961454,-80.93908663040051,-61.43695790731174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S39,-0.9877521243950582,-131.29473167152383,-38.70094730749685,-57.989246976411835,-73.21093653371946,-11.929870976548074,8.583028657056957,-61.78451730227508,-103.9018543867467,-83.84557119274393,-63.512886216795295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S40,-0.8610627523921721,-131.3042388747263,-38.604976605007835,-57.966268865648374,-73.08718349650434,-12.254732643377508,8.586376002874374,-61.73353264962245,-103.849101723414,-83.88699521732957,-63.53244673594416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41,-60.17183821811756,-200.66258973524498,-116.23772912534491,-107.69237254388742,-89.30628879070213,-54.289022920290364,84.37688156447365,57.804560829161744,-18.320608576004815,37.34880150378306,6.744948032377351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S42,-129.86528286749888,-279.34275846114076,-174.10789223350065,-254.326770220203,-180.9307605918704,-117.83040805043399,-65.51064459945266,-56.09791286665455,-109.14839262973608,-75.99545769873384,-58.81004321719541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S43,-193.46921363983682,-330.17371932849926,-274.2433683282073,-288.20187493029437,-215.10755963685568,-149.05452706263134,-139.8299892466781,-91.29196952927643,-128.3964593518636,-82.92576958110409,-76.28795625183749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S44,-239.73473931350497,-403.6479628461649,-305.7884870695702,-345.21125358971005,-253.08932786845162,-178.882390672797,-143.50888900670355,-110.01062239052928,-123.05656514872076,-92.35532108318978,-80.22725476212233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S45,-272.06762399031703,-439.47253386411944,-340.138230744472,-365.78294916705545,-335.87062356113506,-214.68421167392293,-159.46451778504667,-133.71749977570957,-132.1546779055751,-113.73420918120658,-96.31565643765595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S46,-292.14445036661374,-475.5445970550909,-371.4458627464552,-404.3540224470519,-354.8362742896174,-231.67458903122196,-155.51463843170055,-140.67744027856932,-141.1514970702985,-124.07821562916243,-106.1253488018119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S47,-294.64243820862634,-489.077116428561,-377.75762994805007,-407.65024078688583,-359.45685602253263,-238.5043843793646,-155.67120921467037,-144.72621955474452,-148.81836731593444,-131.40517184125588,-108.98269284943352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S48,-294.7677041996215,-489.8828943596669,-378.3923129582831,-408.561047194155,-356.21595970405906,-239.05738945635946,-156.15252796437673,-145.49818407101256,-152.1319239480423,-131.83729172101442,-109.65398959935379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S49,-85.17059817118167,-199.8861096587703,-87.14622230364455,-94.24615084896004,-84.3452217777525,-41.36595436510504,114.40359367347597,98.38526931156011,16.357144534204338,38.57396454172335,9.184913701663522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
