,Solar Actual Installations,Onwind Actual Installations,Offwind Actual Installations,Hydrogen Actual Installations,battery Actual Installations,Solar Average Installations,Onwind Average Installations,Offwind Average Installations,Hydrogen Average Installations,battery Average Installations,Solar 2045 Average Installations,Onwind 2045 Average Installations,Offwind 2045 Average Installations,Hydrogen 2045 Average Installations,battery 2045 Average Installations,Hydrogen 2045 Energy,battery 2045 Energy,Hydrogen 2050 Energy,battery 2050 Energy,Hydrogen 2050 FLH,battery 2050 FLH,Solar Generation,Onwind Generation,Offwind Generation,Solar Peak Installation,Onwind Peak Installation,Offwind Peak Installation,Solar 2045 FLH,Onwind 2045 FLH,Offwind 2045 FLH,Solar 2050 FLH,Onwind 2050 FLH,Offwind 2050 FLH,2030_RES Total Share,AC Grid Development Factor,DC Grid Development Factor,AC Grid Development,DC Grid Development,AC Grid Loading,DC Grid Loading,CO2 Emissions,Total System Cost,DC 2045 Power,AC 2045 Power,Biomass 2045 Power,Battery 2045 Power,Hydrogen 2045 Power,Load Shedding Peak,Load Shedding_2045,Load Shedding_before,Load Shedding_after,Biomass Utilization 2050,Biomass Utilization 2045,Flexibility 2050 Max Usage,Flexibility 2045 Max Usage,Flexibility Max Usage over the years,Flexibility Average Usage,Flexibility 2045 Average Usage,Flexibility Before Average Usage,Flexibility After Average Usage,Flexibility Before Max Usage,Flexibility After MaxUsage,Flexibility Potential,Flexibility Cost,Flexibility Duration,DSM Total Capacity
S21,180.06802823938847,223.22991019684997,17.458698011067693,68358.77975704703,63118.18104008486,6.002267607979616,7.440997006561665,0.581956600368923,2278.6259919015674,2103.939368002829,5.564477323293237,6.111311798186015,0.6983480588265577,1854.3510186265466,1930.984673927456,36746366.83565968,52482619.11981936,25165501.876985885,61003143.003446415,368.13846883669504,966.4905055622935,319.79640227464307,419.0281831247057,12.610084759589505,43.99997226207299,41.62813720416287,11.580629248839958,1233.9607653180897,1907.8950111014994,1175.3854293445622,1228.3840487678588,1429.737734476227,544.6730678950129,67.06,1.1818276081675014,1.0002175151134203,42113.52313078084,1.8706320065230102,28.821335921347025,63.12284042222524,1778.253818682483,444486690611.56384,8601.879969786745,273724.1643349896,4448.892056431814,70274.63817406248,68358.7820790016,53214.83631758304,6421779.310697176,0.027180494870089503,367996.8190991632,1694205.928808945,1694205.928808945,99.99999251503226,100.0001244005047,99.9999507156717,11.400129034720168,3.070186573252558,13.849385219386523,1.1948949319436888,99.99993528004221,100.0000150307945,20.0,50.0,5.0,1540.86496581027
S22,180.34568549170052,223.34798356760166,17.430247860672303,68273.85292780177,63118.351362137604,6.011522849723351,7.444932785586722,0.5810082620224101,2275.7950975933923,2103.945045404587,5.576772893912062,6.114285223122404,0.6972100684655351,1850.9574853477818,1930.603676108718,36176091.526218966,51747581.11527397,25151983.872733675,61189584.836463965,368.3984089896326,969.4417574763096,320.1226174194815,418.7204518841815,12.623705833941962,43.999965168196354,41.65123023194133,11.580619170147816,1234.706812208167,1899.8953181505158,1170.9844899404438,1228.3268952160745,1428.1123222667848,545.9322967485543,67.07,1.1817223142174806,1.0000385681384047,42089.14391945262,0.33168649223625835,28.808723122568058,62.28089723098383,1777.8927214518733,444449621116.40924,8600.26585969948,273694.2407123655,4441.4063788775875,70265.1119450357,68273.94924740485,53019.39128799637,6433314.198859256,0.0293676431340682,368770.61072750995,1688666.2313876692,1688666.2313876692,99.99999355231837,100.0000274642805,99.99994440321956,11.923024726641582,2.907687959173332,14.499448961685736,1.1879237472909303,99.99993136809415,99.99999871624202,20.0,50.0,6.0,1540.86496581027
S23,180.319609374373,223.34969541444627,17.42496501055623,68260.42760509618,63147.490600202385,6.010653645812433,7.444989847148209,0.580832167018541,2275.3475868365394,2104.9163533400797,5.575774427715644,6.114337500382211,0.6969987201662073,1850.4253560800848,1931.4855704223833,36212948.118766725,51839978.340228096,25140822.991173945,61205611.69304454,368.30736122585836,969.2482241154362,320.08995322788115,418.7606152757865,12.605057374093313,43.99996697060453,41.653186524751305,11.580636375614366,1234.6891003631663,1900.4704846176676,1171.0142655899435,1228.3312559108365,1428.2317024139163,545.2503941680246,67.08,1.1849939124570743,1.0001933300298467,42846.886474532716,1.6626417844745447,28.740133691601855,62.09992702197498,1777.732627614942,444404342654.95734,8601.620011451583,274452.54646338767,4440.726813963202,70287.15854123601,68260.64544874977,52233.82313453309,6435416.776534691,0.024520656029513598,368292.8116427363,1690121.573977764,1690121.573977764,99.99999335755228,100.0000518210595,99.99996195997566,12.189024822449214,2.983951155534424,14.822859891334936,1.2147120354253718,99.99995216667615,100.00000276539033,20.0,50.0,7.0,1540.86496581027
S24,180.29464468525651,223.3188531205312,17.43505661792555,68233.66178537247,63151.627605185706,6.009821489508551,7.443961770684373,0.5811685539308517,2274.455392845749,2105.05425350619,5.574775853299718,6.114956343439085,0.6974024110062855,1849.356396729009,1931.6257183386667,36612504.779253624,52299805.807771295,25107115.81017589,61193609.41866255,367.95782909469125,968.994625482769,320.0578530757306,418.8173699043094,12.543475186492572,43.999964410994124,41.65319299358762,11.580623421416345,1234.0720204909353,1905.0962207485345,1169.4351976335636,1228.3258173509737,1428.575494693491,542.3497886612603,67.08,1.193916096240287,1.0009291409263301,44913.35761406823,7.9906197637374135,28.739876832862386,60.68254938108109,1777.7125904695258,444335462485.2272,8607.998960444622,276524.725599488,4440.854691425086,70290.66573109849,68233.91968316985,52256.469635378155,6433461.481246206,0.0288841360935818,366426.3380581867,1685249.4129980193,1685249.4129980193,99.9999974426961,100.000163937534,99.99996127591848,12.225955401610253,3.233262784095766,14.855142297420105,1.2710100024025357,99.99994577553004,100.00002586087034,20.0,50.0,8.0,1540.86496581027
S25,179.74354990875923,224.06193095445713,17.264552196330644,68439.29865547447,63074.436734951036,5.991451663625308,7.468731031815238,0.5754850732110215,2281.3099551824826,2102.4812244983677,5.54765199754702,6.1169639178243616,0.6905822397490298,1857.5696922873703,1943.031919459255,35887003.31854111,51977885.98562391,24958171.856128924,60889866.259604916,364.6759619262533,965.3649247419062,319.3436604070064,419.4631735100606,12.28832424684814,43.99996353564242,41.75447335906571,11.58064932503602,1235.02946642312,1898.902224576226,1183.4374880925184,1228.678780510959,1426.5067325789905,535.2637756371906,66.81,1.1728258626939998,1.0001329898060016,40028.604524736904,1.143712842156674,28.58147348660388,61.2897665403146,1785.1884002638515,445564377453.66833,8600.439566208168,271636.6669682842,4523.347214974281,70575.81607474602,68439.25381211647,54496.91403859547,6633909.998234374,0.019768968848314902,395214.5091548338,1762906.7205698665,1762906.7205698665,87.38203462432936,99.99421801767039,98.51018565769255,6.025138877449008,1.483107640734282,7.339524354845081,0.5485327216320343,99.9992521711842,92.30574185147735,20.0,10.0,1.0,1540.86496581027
S26,179.45885046360564,223.1429194880974,17.17337719539892,68525.48661940987,63174.80115348004,5.981961682120188,7.438097316269913,0.5724459065132973,2284.1828873136624,2105.8267051160014,5.5309326846975715,6.124114226793156,0.6869352202975517,1861.0215344501123,1936.0308049786227,36382114.8107315,51751599.877706215,25289874.506844252,60725365.05787377,369.05785973242854,961.2273484023059,319.3909094388532,419.5706498319869,12.519008417326747,43.99996362043467,41.638513931295336,11.580640800259918,1235.009092808321,1904.7056045966265,1173.4895690530573,1228.6324767431329,1432.0618428610928,547.4863949284298,66.92,1.1808999270618519,1.0002164419701964,41898.65747607159,1.8614011697045498,28.961678703161635,62.093898777742254,1780.0460824090826,444284005266.74475,8601.64326645936,273506.03257054393,4521.644683765917,70400.78940387539,68525.55104290368,52620.23099192227,6395539.751512656,0.0225547770508708,350852.52747680043,1730809.2373002013,1730809.2373002013,98.56127810314095,99.93055286464939,99.19953990606851,11.524553432808425,2.642493659694054,14.045762338421095,1.019516326088952,99.99992758699396,95.86459123554584,20.0,10.0,2.0,1540.86496581027
S27,179.10650128263708,223.39300684290788,17.130309091802886,68421.83046381566,63138.621117366536,5.970216709421236,7.446433561430263,0.5710103030600961,2280.7276821271885,2104.620703912218,5.51927431768712,6.1223544115448085,0.6852125070665849,1856.8855998176912,1932.9948801430342,36340756.90415601,51663782.18224759,25282075.205770258,60706572.47331513,369.50297277237627,961.4804762917873,319.3456555071568,419.6493091275733,12.47001294967039,43.99996824376987,41.72735535732164,11.580623475286604,1234.8698744013209,1904.1284475986956,1172.5037968698339,1228.5287157211199,1430.8611838950853,546.3727615056506,66.97,1.18081963429911,1.000507279052232,41880.06531757198,4.3626041985808115,28.760284370377864,63.796500426662725,1777.9900667557893,443892524316.5276,8604.13427444091,273491.6856591739,4512.096869513639,70324.89388048602,68422.15347710928,53415.13862264345,6452421.041477127,0.0283503149022835,359693.25675784255,1730834.824902542,1730834.824902542,99.99995535530901,99.99999024844722,99.97771762075486,15.688666915985717,3.495715055084013,19.123629508154057,1.3763227819509654,99.99994143710111,99.88511838597879,20.0,10.0,3.0,1540.86496581027
S28,178.98621504072463,223.4350330639319,17.10540513020687,68401.46669943423,63124.92325916578,5.966207168024154,7.447834435464397,0.5701801710068957,2280.0488899811407,2104.1641086388595,5.516528658420109,6.127465277925799,0.6842163380005007,1856.0622460059499,1929.9523147012046,36363247.44481426,51555980.980038345,25295552.733496904,60675067.72083837,369.810036331855,961.190133782731,319.2961354273817,419.7197768232089,12.454420284816775,43.99996637519999,41.678050865557935,11.58064304389821,1234.9138441779417,1903.817119671045,1171.6108656618944,1228.5628281164347,1431.1996325547493,546.2857249220544,67.0,1.1806976376488736,1.0000990503410405,41851.79486990487,0.8518330773931666,28.923757422464103,59.710909537384296,1776.614411299038,443579701474.50024,8600.770793620026,273459.3416608563,4511.973454855149,70248.82281162468,68401.56589475977,52952.67130187822,6442567.797463376,0.019995562344652103,358393.124250616,1732666.8189562848,1732666.8189562848,99.99999480109773,100.0000259648763,99.99995034830908,18.246437701581524,4.001811054850917,22.246795203125615,1.578281445147794,99.99994916460084,99.99995528042676,20.0,10.0,4.0,1540.86496581027
S29,178.62731419471038,224.52246441070207,17.212752556388008,68386.70188668808,63029.78028955938,5.954243806490346,7.484082147023402,0.573758418546267,2279.5567295562696,2100.992676318646,5.506605964128339,6.122161037472292,0.6885102584754418,1855.4694676588915,1924.3229119156233,36072039.210402176,51657056.61491316,24974434.849213935,60604655.28441538,365.19424482449756,961.5238435823416,318.9782275545287,419.8290741140455,12.246417962086136,43.999968975255626,41.68040176134605,11.580647808257666,1234.9079976835412,1900.943823936212,1186.7120937557356,1228.6156218236797,1426.4039153372244,534.644714053817,67.04,1.1751824001734636,1.0009519145043881,40574.40617762908,8.186471750968849,28.55515021333175,60.3859205297008,1775.6679255121987,443636852778.1194,8608.193839251158,272186.7485490026,4511.871139757161,70108.09231659325,68386.74840378622,53718.108129376735,6701018.517253544,0.0212648775196942,415484.4026045354,1756995.9452051101,1756995.9452051101,99.99999400287207,100.0000348645439,99.9999733655813,20.253622227061353,4.396261535648267,24.704403513480955,1.7087002003129974,99.99996688384817,100.00000037280263,20.0,10.0,5.0,1540.86496581027
S32,179.06893665918284,223.15379060786455,17.23009510543727,68344.44657962341,62847.426490207115,5.968964555306095,7.438459686928819,0.5743365035145758,2278.1482193207803,2094.914216340237,5.516779744657124,6.108470159444746,0.6892039663640783,1853.7764712733501,1915.3001681000053,36433350.722871415,51400737.94757187,25338404.598475967,60741147.73840983,370.74555048752023,966.4855346115795,319.5487445176681,419.4710308300831,12.540271462625682,43.99997342951164,41.951727656483,11.580624127838409,1234.9097405645366,1904.939408668399,1175.314896483477,1228.460523390368,1431.132249093798,547.0593503396979,67.06,1.1926121891042019,1.000061758921742,44611.355215772375,0.5311272064373043,28.408783944692345,59.890154485283155,1774.9924816078176,443236649102.905,8600.538890560996,276222.4263805428,4512.085029904063,69882.52406537134,68344.42298136657,52836.810914096335,6472294.032746464,0.0274654965654241,354814.01522554597,1710923.6603788803,1710923.6603788803,99.9999978247139,100.0000227814371,99.99996517561566,22.473920823016556,4.45535004780016,27.42551890881402,1.8422621321937749,99.99995604709444,100.0000032111207,20.0,10.0,8.0,1540.86496581027
S31,179.0780739911964,223.15691174483078,17.266536207208922,68327.50573608188,62882.924891859664,5.969269133039879,7.438563724827692,0.575551206906964,2277.5835245360627,2096.097496395322,5.517528837101309,6.1060198385875815,0.6906616060132725,1853.1107599004338,1916.646969833278,37335607.399323106,52881203.55226892,25292419.70126951,60761146.155528605,370.1644666234585,966.257985737671,319.55805855826463,419.4289127768726,12.517460635047893,43.99997150330077,41.95587387212811,11.580629157421578,1233.2814517709865,1914.9201993309246,1182.9760879878452,1228.4531241258628,1430.973343317393,545.1975509799789,67.07,1.184444369006206,1.0013733449979487,42719.60630968289,11.810789809062044,29.395570452242893,59.17800813817195,1775.1380706458622,443352584497.0021,8611.827411053984,274331.5598084689,4511.795664996598,69916.19360934448,68327.76962861489,52429.57136492462,6475714.173770247,0.027090672372140703,358354.199806581,1717634.1372171685,1717634.1372171685,99.99999504373545,100.000371121097,99.9999863243905,22.47616293808844,6.615450935685086,27.343138401315386,2.197098507976151,99.99996940222965,100.00005683339408,20.0,10.0,7.0,1540.86496581027
S30,179.28064514394626,223.24676017833366,17.235530538880603,68318.76526963491,62965.5811292633,5.976021504798209,7.441558672611122,0.5745176846293535,2277.292175654497,2098.8527043087765,5.525440764340367,6.1115240937882485,0.6894213401318927,1852.7501105138006,1920.8825514110392,36540849.25737474,51707050.31688711,25274468.329755403,60879643.80617826,369.94906580279223,966.8714873692225,319.7479649608713,419.2526072345477,12.506631111523369,43.999984313094814,41.88654999146965,11.580652689106131,1234.47887566075,1905.9359621326066,1175.001259309923,1228.4380577922393,1430.309699567579,545.4624841272421,67.06,1.1809578578389623,1.0002002951528917,41912.08658807661,1.7225411319723207,28.943016020210038,61.66240395982392,1775.5578687742577,443449857364.7089,8601.736605898075,273514.93156918674,4511.7316944220365,70022.08330122616,68318.763534356,53172.43244283746,6468513.589597305,0.019825189838300002,360080.111036527,1721352.587290804,1721352.587290804,99.99999422427756,100.0000593030134,99.99997783993265,21.61794366274614,4.836089486144373,26.3554457553219,1.878351610347145,99.99997115726275,100.00000568439053,20.0,10.0,6.0,1540.86496581027
S128,180.00896795237836,223.18190931250786,17.332166510929802,68472.1258070779,63008.37557333662,6.000298931745945,7.439396977083595,0.5777388836976601,2282.4041935692635,2100.2791857778875,5.559833709592386,6.113869651162835,0.6932868276974871,1858.88623082611,1942.862054910903,36224146.893668674,51859528.77621515,25265285.366304062,60848640.29527271,368.9863476429702,965.7227285518126,319.6051526186878,419.31252809770143,12.56760286017414,43.99996738621314,41.691928522245206,11.580646478846308,1234.9100235045028,1902.5967437264337,1170.874611656706,1228.4811427678594,1430.4029743454846,545.8212080336092,66.84,1.1862878216684103,1.0001298907919525,43146.581057200296,1.1170610917724844,28.856898530188158,62.80600596648802,1784.3097709041003,445144900718.0508,8601.115729128025,274757.68097465084,4493.799691998107,70571.57207484427,68472.17033331635,52133.76256451068,6397497.647912778,0.0221218128079359,355233.127994831,1726382.5766491583,1726382.5766491583,99.99999016402323,100.0001342070199,99.99993555397829,22.720653398913708,4.916035843460756,27.68261209990236,2.0458254781276577,99.99991624528886,100.0000160068509,5.0,10.0,8.0,385.2162414525675
