Scenario,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
S11,-43.95123460281225,-353.4299182089029,-451.6057760648646,-411.25952032161496,-544.1890421907702,-551.1371959806493,-500.66377608493974,-473.05140177419605,-624.6055010946324,-418.5042835414254,-758.4425964114176,-298.6038932807764,-142.34413031121474,-247.50059139998547,-73.96991938094556,-309.64692023713167,-437.3613881743452,-266.60796176364875,-13.533091911896555,-7.820653937456559,0,0,0,0,0,0
S12,-50.60667033754596,-385.598544590438,-453.5958764707417,-440.26796872003615,-580.8808856003136,-583.4947567866218,-525.7887568330633,-546.6890738677544,-638.3438608473986,-477.5131395099903,-798.9585449616436,-402.3876409561993,-320.89865712679,-351.03844358040794,-215.511377007644,-372.4754063887534,-507.15955898457474,-364.2346662603648,-25.406566989580213,-13.319978238425456,0,0,0,0,0,0
S13,-53.57804960281709,-401.3471058130045,-465.63830509421814,-442.73819523902745,-608.7759455388433,-587.9077089019872,-515.852972679367,-548.411232449415,-585.507991218658,-478.4517519820746,-769.4718527524111,-441.5795513150167,-363.4480543661054,-392.38716973492774,-78.86568472625832,-424.59171767489056,-449.73205394369666,-371.8925431976681,-28.356947262265123,-17.25112029823459,0,0,0,0,0,0
S14,-53.40716850723881,-403.2414852029917,-465.6523893651841,-445.4190623999774,-600.0099431914734,-589.7322570436901,-494.6867370895758,-516.857092672839,-593.8196712272647,-481.05956713661334,-805.0642834345698,-501.4511328063103,-432.4895708248713,-394.14432192606876,-5.483546236326298,-453.41479009714016,-436.04973862373606,-444.42440323242226,-29.784419083518586,-20.164260407707705,0,0,0,0,0,0
S15,-53.406349899918546,-403.5280771255405,-465.86856691063883,-448.7812951370893,-602.598458819755,-590.5435923284851,-495.36985833166545,-537.4365683069113,-595.5131144388268,-472.02142989374704,-852.4788555472886,-517.6102019986697,-422.5869986164179,-438.13121504565,-41.42591818453489,-400.4126458380286,-437.8914012820054,-360.69171213275644,-28.002059521117232,-21.382297369220282,0,0,0,0,0,0
S16,-53.37884583262886,-403.53284499569406,-465.8520850137253,-448.4874968079677,-612.6096072786461,-590.8435105408909,-495.4270381648911,-541.3780048701833,-601.250967649512,-476.0066544877555,-853.8444209355011,-517.8790456304165,-423.7367701861956,-436.8624221361044,-64.11394185427798,-417.2867526650057,-408.29805372778605,-322.89308310817955,-27.90705575118824,-21.810211558879416,0,0,0,0,0,0
S17,-39.00319132416019,-319.9285564371543,-288.1192866594033,-232.79831288594454,-100.77771842740724,-47.570160123828316,-10.31972502632695,-63.24856520978983,-118.92549100774374,6.5096015237111615,18.177496986043984,-121.3872167109269,136.2855804712222,-167.14162937218367,-341.36431650412203,-77.75313493034287,231.21956668316022,-253.07008998018966,12.497962206976299,4.013334114229222,0,0,0,0,0,0
S18,-48.08995423488205,-383.4585577462701,-473.1979411317093,-450.30592139226843,-585.825091066436,-566.1668074520803,-531.7500086077373,-518.588448310247,-712.0139567461887,-515.0864953511256,-787.4333765086776,-338.1065760466804,-217.98926390601105,-221.72880656717274,-180.3951860142181,-367.236367953736,-528.3185227208644,-453.5989140628249,-21.88974886817263,-9.922860519766179,0,0,0,0,0,0
S19,-57.99450109134213,-383.0404610276499,-521.981868358949,-485.5133995651264,-686.0606506220987,-649.2567425404231,-666.54348836036,-502.58977986341426,-709.3530866058852,-494.83926021271253,-800.1514591531063,-429.5146418179163,-326.2194016969504,-409.3933057172805,-292.49985180214645,-474.6497082218601,-621.4504205967914,-533.9893422354436,-30.269600297532897,-16.5083616693221,0,0,0,0,0,0
S20,-67.971577615015,-424.41190857590703,-575.8561777746843,-554.0289911086052,-765.5850562910214,-749.0154579592502,-785.8161931979337,-606.5807021138685,-723.0795037655114,-539.3071016963455,-842.484448454039,-575.8830851979129,-517.7865324063769,-536.9656086549801,-410.38975965766775,-627.0535716056553,-705.8661786980584,-640.6592172061867,-36.134815249537546,-20.86848392619639,0,0,0,0,0,0
S21,-71.99960273263312,-441.40916717324455,-593.6660945473916,-583.0103132012164,-815.8514179488724,-782.4883596669406,-811.354206391977,-685.9626416479641,-706.8181962052336,-600.7272527487908,-909.1993565528975,-517.9479666335691,-538.8480046659892,-493.54374417005164,-202.6308173726852,-536.6683934295064,-603.2686611176609,-502.1844509518978,-34.06443517808988,-19.940758584480513,0,0,0,0,0,0
S22,-68.73257056946336,-455.41376631723085,-624.7975058287643,-578.170281002794,-815.3487694833066,-771.1042487672169,-785.5585530095466,-685.0046834347463,-689.1668780014113,-604.3454724030441,-913.3925666795601,-549.3158359391854,-588.4118304212222,-531.3659465526515,-219.14009049656525,-488.57832085587205,-612.5207778815369,-523.2287363111361,-37.03434521585724,-24.086255315774206,0,0,0,0,0,0
S23,-67.24976551972267,-455.54156556976125,-624.0238276420555,-579.682695659093,-826.2191860029109,-779.8836467660824,-790.6562428600737,-691.4658021758431,-705.2496985689576,-595.3071161273717,-931.0720537514392,-571.540315389167,-609.7976978308636,-601.1137255332022,-241.59697266059243,-511.29531892078273,-630.2493330486021,-483.68668819378956,-36.4762606114859,-24.187951523525758,0,0,0,0,0,0
S24,-67.27268164235184,-455.5450599943358,-623.9415511781941,-579.6837299811361,-827.5148303140433,-780.4532103775222,-790.9941064654929,-691.7304613803364,-705.9113818264153,-594.4392372474967,-927.9799008580767,-576.8036577566145,-614.919006251549,-605.7507753729867,-269.2755231155175,-509.2087729988295,-613.8417591455818,-496.7152085740132,-36.961589354127746,-24.664111188443265,0,0,0,0,0,0
S25,-169.54714241488122,-393.58077969623935,-331.78788422334856,-272.46561828594326,-120.11579556105812,-111.25707684922847,77.16685324553119,-15.217418165933694,-109.05724824428198,-32.48514450388029,42.19737244209565,-115.34272823745617,246.8357229060496,-93.27007320459745,-286.9800741220958,-52.517100000171624,257.9408781488315,-288.4688502524489,18.838761282765624,6.721378935384896,0,0,0,0,0,0
S26,-293.61104642537424,-603.6586976729725,-663.3513358116137,-600.7050243777545,-727.6465739741917,-607.3174945817996,-717.0613660476538,-532.1489490488584,-835.4004730217719,-640.2777631047289,-889.4094551802735,-365.5402408883939,-243.23708437611558,-222.70629615186,-248.7847293438703,-470.5914196811785,-681.9831373070685,-607.9778245814227,-27.915077580269674,-11.919027081950464,0,0,0,0,0,0
S27,-430.93353445208163,-699.9728980559277,-849.454854703454,-708.7626367614628,-876.8389088813988,-821.5359704929615,-902.8347023956487,-694.9926772320057,-919.8326948865381,-742.224568331082,-989.5565108985531,-534.557355811896,-457.7358974829453,-397.3562400286603,-271.5863813909021,-569.4348494816542,-627.7488077214387,-666.3097050505078,-28.140839957531583,-12.770041559977944,0,0,0,0,0,0
S28,-532.1568455761978,-829.8642512384163,-965.075351852129,-823.4599985989654,-1053.4020214323414,-1002.5118570794893,-1088.0008898530696,-869.4657609556602,-983.1017315991791,-803.1165394329375,-1044.0139154207486,-654.723903729959,-595.4135196321904,-501.0550321366676,-506.22720358434225,-763.9721274660918,-894.9956288064413,-881.9076605285643,-45.67775567038357,-19.583230335167837,0,0,0,0,0,0
S29,-602.2208015285026,-937.7691411298628,-1056.867792039609,-968.1549778723966,-1155.506270513402,-1149.5940795271863,-1186.096759067131,-1067.9989861965735,-1035.7316776206771,-821.1631928371199,-1164.851800269985,-710.7508024022584,-654.0145686135199,-518.5148871195767,-442.71064814247563,-734.5985558642924,-791.6948594712396,-740.6735073177257,-45.33544809930268,-18.056440208316168,0,0,0,0,0,0
