Scenario,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
S21,-104.77456995297274,-61.92389080443661,-52.23394303930462,-97.43031223695908,-103.39364219399982,-296.82919700547217,-298.0882682439159,-269.9636360755875,-238.80452217519377,-192.60011197501115,-255.0257861791536,-206.3089384355834,-240.77791896592515,-297.76745679496486,-193.14971363211697,-248.03124616921934,-276.2214232015232,-289.9165830683188,-254.4957557407237,-244.39980834799258,-49.4709495242418,-11.95741824425256,-27.338460173394807,-27.713833849045244,-27.596414017027726,-28.127455769667577
S22,-113.89509412708776,-83.34837562952657,-81.66186227862937,-102.63613352833545,-109.23848608015163,-346.6823017071121,-341.8592066220185,-323.7354752654156,-285.5082749900575,-240.88641999415472,-304.0004382443158,-252.2319620151663,-294.64335001369335,-359.3361703673068,-247.36772182620115,-286.69293014660724,-324.9317809937331,-326.97908659945085,-287.6540724417538,-304.5076608441306,-80.81140307670597,-17.3128085305847,-33.54172672901257,-34.340877866419376,-35.85539763024226,-33.667153190943154
S23,-123.74207170766738,-93.5725064389814,-90.90956428048003,-111.55972328129593,-121.52370487370945,-360.3249384965963,-356.6055292496486,-336.57092778346964,-301.03542075890743,-250.16155446448352,-327.0682777026934,-264.60665606865064,-308.4520644796669,-382.8010332492653,-266.1644608020879,-304.6362137872407,-345.7981658550793,-330.94480761601017,-292.4187149800659,-315.5279090505587,-83.88691094891331,-17.172155287956905,-32.896112534865466,-33.543146738918004,-34.71152029669589,-32.21181060084821
S24,-123.74823980155725,-93.55387072066179,-90.87059423436727,-111.4754749733109,-122.5957228251886,-360.825074553226,-358.47989761370513,-338.3787850787243,-301.94548648129427,-250.6562763098259,-326.2154639187287,-264.8744988379619,-309.02899976671705,-382.80136259268005,-268.67858285299917,-303.99352220371867,-343.4730720142518,-335.126682786516,-290.00330125928997,-318.29764230978697,-69.63898414030379,-18.871346873623686,-33.04450601381337,-34.77713025424101,-35.1992864119286,-37.083971580593065
S25,-5.185856654748022,81.10624022842927,133.42762767963023,60.14264952413839,70.90901018928264,68.1473712810714,144.3433778633718,104.85026748414583,83.16273952749498,95.54517590517975,91.87150140002842,-22.81380831730928,38.541360101469024,142.93902039575102,136.1835364956292,166.8977754208143,172.88246488840997,119.75379578390033,132.8750586710612,101.52054259637566,176.42881208081997,93.5108006114993,90.85429230909625,75.72266073525613,52.17241803347794,40.57333599125457
S26,30.54477942333733,76.40574082766705,93.31586734588626,21.705855857547363,26.33927793967672,66.07646097147324,20.5601078577331,38.96915946102553,16.096070132263662,63.822666549206986,1.3835209933077408,30.27284117089124,27.645728291844307,113.43257912826488,167.28343116935207,129.33362888144728,87.96983880898068,67.21552778088835,122.09340081821907,120.11428877307395,28.18015448044786,18.78095788829537,5.280703644168661,7.281494255824583,8.260448729634717,8.475852721589128
S27,18.10932183781233,101.89733937153278,60.79422253019828,41.17515308325892,33.58200780407117,31.27777231325979,-52.1569601600973,-19.980713779418124,-41.83003370947347,12.491789787183905,-41.18945663328333,-25.987310972674038,-54.87064490561977,58.71394215421333,130.26024489228405,88.96775848544536,46.012610358051376,6.605781688783452,67.08180992597335,46.51397087271292,41.37133356341405,17.938676126282083,3.493879132970612,6.395304723947559,6.960857588367064,8.501440323930298
S28,21.649293376221124,93.47129896230655,75.95123090460731,48.07295815103885,32.43807860760484,30.117153105038597,-66.18007133664605,-39.181930581555946,-33.31655737527939,17.274664036541765,-32.97325307162424,-19.290293530090707,-51.806292144419785,77.43643591489047,117.91458724749049,77.10504458449918,34.62477595699909,6.583736549988117,71.43124180358384,30.464550831791115,38.677832064057505,18.596985053917603,4.0456066736944685,8.616119550341805,8.39589284227582,10.333434377672646
S29,43.09021812883884,87.38696184780537,82.85180031447936,39.0906253387584,24.193830067353872,23.41689934208091,-50.30969790399098,-70.36999935145616,-29.615336562414996,29.148267885489076,-62.50296310540193,-29.077571583350448,-52.58577572011092,91.86465926874376,153.28672839145696,100.47921607807808,59.53981823441268,38.20317127083328,74.49941764063794,32.06061076033606,196.85937528308983,94.20193795181397,87.13206519039196,80.33491101148682,53.64646632320835,34.662560626498305
S30,44.017208520877205,100.72086633423538,63.35171713514853,40.76875151267956,27.432833789049482,17.813456951834894,-37.772757958585146,-71.42497231644285,-16.133133863860394,31.689620675052765,-55.03144901883417,-22.127567693878802,-66.85308678215307,76.95016831485191,176.6593981522675,124.15945241922088,43.827628554417686,49.95553329380442,76.13146474093213,7.802652519050213,51.6522610222907,12.009839490244811,-3.3667133219845713,-0.6915618665106482,-0.9789351240236943,-0.9807972878081994
S31,43.80916217798614,111.19196633877237,70.14094788897296,49.049227935960005,21.411177083187738,12.469475108190409,-26.769367150954793,-75.1440344942651,-4.839962761252536,42.96707362966856,-49.91847129940652,12.287933687076702,-54.25625275671564,39.500870276768296,139.27575829843164,116.04224595972568,42.59139843075843,54.0342049511473,68.54851941406892,15.695142624245761,87.70036055021623,10.329296589468795,-2.8274033094979334,-3.964208541818781,-4.159441620075199,-4.699247361443781
S32,37.9724244269255,112.8763045069121,74.13608137998295,50.94498703961392,20.053090412943675,13.457627235915481,-31.930431210092536,-75.72028064030434,-4.994115149841605,36.39129862181534,-46.19162480897643,-1.141088211007002,-55.63962697103619,38.025020592769465,137.31928065341492,117.94251056944915,40.15512310227365,44.07599789079697,78.61167204872999,22.867653613996453,41.21264350495579,9.4348496378871,-3.032366107024842,-12.370860557731067,-14.168156351909378,-11.409724199732185
S33,0.30472512897006254,45.79236189805869,69.3999138710737,34.15860591459818,26.44649156952994,19.080924679869327,67.08641054611064,31.27716701970229,-22.23723496869212,60.86032647267814,21.499916578171963,-17.454345760405943,-3.9628323964464585,140.8615901984831,123.53350123370177,171.35036520337366,163.94834852659912,126.1963821361114,121.47226583152815,108.2050004043964,158.20640855087564,92.39065642404154,91.98030339201324,77.15099000329518,51.59309379064481,44.7633147425579
S34,0.29064420527902257,45.86296339687124,71.94349823596724,32.67362709296151,22.067569154764044,-10.09149840771073,29.625764284439526,-7.307937400845788,-16.27789296293969,16.257398330083106,-30.6201402611066,-29.97299289616251,-42.72151630136989,-83.51272695136913,-48.78213066272252,-47.49146536694582,-50.206190690818886,-73.18301224644586,-41.117541566705995,-12.287314930805593,-23.588723170170134,0.5307896613682139,-9.161338038328859,-8.353227876635172,-7.517385921574915,-5.997051860126001
S35,0.23561968041008186,46.1850421517056,64.41155159619427,32.37816523857617,11.344085497093204,-12.853330550392172,11.042776450310043,-13.393169162725371,-18.203073195422803,14.953440996727352,-31.614909362112087,-32.006752460901566,-42.55181077174797,-78.54948001972417,-43.949356295946984,-47.702380127603305,-55.64924931655568,-85.58672886650598,-39.72526992956915,-7.27174023571564,0.30734960396205935,2.241778292471519,-5.812268310527502,-3.9785609282991796,-2.657826624114845,-1.322095607935836
