,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 1 biomass,biomass,28.584,DE0 1,,,2035.0
DE0 10 biomass,biomass,12.6902,DE0 10,,,2035.0
DE0 11 biomass,biomass,42.024,DE0 11,,,2035.0
DE0 12 biomass,biomass,92.283,DE0 12,,,2035.0
DE0 13 biomass,biomass,111.3445,DE0 13,,,2035.0
DE0 14 biomass,biomass,33.595,DE0 14,,,2035.0
DE0 15 biomass,biomass,24.482,DE0 15,,,2035.0
DE0 2 biomass,biomass,72.518,DE0 2,,,2035.0
DE0 3 biomass,biomass,11.0761,DE0 3,,,2035.0
DE0 4 biomass,biomass,16.774,DE0 4,,,2035.0
DE0 5 biomass,biomass,32.19,DE0 5,,,2035.0
DE0 6 biomass,biomass,34.3534,DE0 6,,,2035.0
DE0 7 biomass,biomass,32.4263,DE0 7,,,2035.0
DE0 8 biomass,biomass,103.54515,DE0 8,,,2035.0
DE0 9 biomass,biomass,82.828,DE0 9,,,2035.0
DE0 0 biomass,biomass,39.8884,DE0 0,,,2034.0
DE0 1 biomass,biomass,52.215,DE0 1,,,2034.0
DE0 10 biomass,biomass,6.677,DE0 10,,,2034.0
DE0 11 biomass,biomass,39.376,DE0 11,,,2034.0
DE0 12 biomass,biomass,47.866,DE0 12,,,2034.0
DE0 13 biomass,biomass,59.1819,DE0 13,,,2034.0
DE0 14 biomass,biomass,15.1858,DE0 14,,,2034.0
DE0 15 biomass,biomass,10.19,DE0 15,,,2034.0
DE0 2 biomass,biomass,28.379,DE0 2,,,2034.0
DE0 3 biomass,biomass,14.5783,DE0 3,,,2034.0
DE0 4 biomass,biomass,43.581,DE0 4,,,2034.0
DE0 5 biomass,biomass,12.5101,DE0 5,,,2034.0
DE0 6 biomass,biomass,21.0805,DE0 6,,,2034.0
DE0 7 biomass,biomass,8.3546,DE0 7,,,2034.0
DE0 8 biomass,biomass,68.6278,DE0 8,,,2034.0
DE0 9 biomass,biomass,154.132,DE0 9,,,2034.0
DE0 0 biomass,biomass,1.222,DE0 0,,,2033.0
DE0 1 biomass,biomass,5.9277,DE0 1,,,2033.0
DE0 10 biomass,biomass,8.367,DE0 10,,,2033.0
DE0 11 biomass,biomass,35.864000000000004,DE0 11,,,2033.0
DE0 12 biomass,biomass,45.06,DE0 12,,,2033.0
DE0 13 biomass,biomass,31.9015,DE0 13,,,2033.0
DE0 14 biomass,biomass,3.093,DE0 14,,,2033.0
DE0 15 biomass,biomass,0.22,DE0 15,,,2033.0
DE0 2 biomass,biomass,2.25,DE0 2,,,2033.0
DE0 3 biomass,biomass,43.935,DE0 3,,,2033.0
DE0 4 biomass,biomass,14.581,DE0 4,,,2033.0
DE0 5 biomass,biomass,3.097,DE0 5,,,2033.0
DE0 6 biomass,biomass,7.885999999999999,DE0 6,,,2033.0
DE0 7 biomass,biomass,4.973,DE0 7,,,2033.0
DE0 8 biomass,biomass,3.878,DE0 8,,,2033.0
DE0 9 biomass,biomass,3.843,DE0 9,,,2033.0
DE0 0 biomass,biomass,0.5415,DE0 0,,,2032.0
DE0 1 biomass,biomass,4.671,DE0 1,,,2032.0
DE0 10 biomass,biomass,1.82,DE0 10,,,2032.0
DE0 11 biomass,biomass,22.214,DE0 11,,,2032.0
DE0 12 biomass,biomass,8.347,DE0 12,,,2032.0
DE0 13 biomass,biomass,19.621360000000003,DE0 13,,,2032.0
DE0 14 biomass,biomass,19.21,DE0 14,,,2032.0
DE0 15 biomass,biomass,2.58,DE0 15,,,2032.0
DE0 2 biomass,biomass,5.829,DE0 2,,,2032.0
DE0 3 biomass,biomass,4.68,DE0 3,,,2032.0
DE0 4 biomass,biomass,29.318,DE0 4,,,2032.0
DE0 5 biomass,biomass,13.6303,DE0 5,,,2032.0
DE0 6 biomass,biomass,3.2585,DE0 6,,,2032.0
DE0 7 biomass,biomass,17.353,DE0 7,,,2032.0
DE0 8 biomass,biomass,3.12,DE0 8,,,2032.0
DE0 9 biomass,biomass,4.042,DE0 9,,,2032.0
DE0 0 biomass,biomass,39.682,DE0 0,,,2031.0
DE0 1 biomass,biomass,4.396,DE0 1,,,2031.0
DE0 10 biomass,biomass,2.7703,DE0 10,,,2031.0
DE0 11 biomass,biomass,24.724,DE0 11,,,2031.0
DE0 12 biomass,biomass,9.03,DE0 12,,,2031.0
DE0 13 biomass,biomass,23.827,DE0 13,,,2031.0
DE0 14 biomass,biomass,24.6225,DE0 14,,,2031.0
DE0 15 biomass,biomass,0.3399999999999999,DE0 15,,,2031.0
DE0 2 biomass,biomass,6.627,DE0 2,,,2031.0
DE0 3 biomass,biomass,2.97,DE0 3,,,2031.0
DE0 4 biomass,biomass,7.411,DE0 4,,,2031.0
DE0 5 biomass,biomass,8.349,DE0 5,,,2031.0
DE0 6 biomass,biomass,0.999,DE0 6,,,2031.0
DE0 7 biomass,biomass,6.139,DE0 7,,,2031.0
DE0 8 biomass,biomass,17.090999999999998,DE0 8,,,2031.0
DE0 9 biomass,biomass,10.13,DE0 9,,,2031.0
DE0 0 biomass,biomass,1.7265,DE0 0,,,2030.0
DE0 1 biomass,biomass,12.02,DE0 1,,,2030.0
DE0 10 biomass,biomass,2.1443,DE0 10,,,2030.0
DE0 11 biomass,biomass,6.805,DE0 11,,,2030.0
DE0 12 biomass,biomass,5.3555,DE0 12,,,2030.0
DE0 13 biomass,biomass,31.07,DE0 13,,,2030.0
DE0 14 biomass,biomass,53.709,DE0 14,,,2030.0
DE0 15 biomass,biomass,0.09,DE0 15,,,2030.0
DE0 2 biomass,biomass,2.488,DE0 2,,,2030.0
DE0 3 biomass,biomass,7.987,DE0 3,,,2030.0
DE0 4 biomass,biomass,11.341,DE0 4,,,2030.0
DE0 5 biomass,biomass,4.409,DE0 5,,,2030.0
DE0 6 biomass,biomass,4.987,DE0 6,,,2030.0
DE0 7 biomass,biomass,5.306500000000001,DE0 7,,,2030.0
DE0 8 biomass,biomass,28.6725,DE0 8,,,2030.0
DE0 9 biomass,biomass,19.385,DE0 9,,,2030.0
DE0 0 biomass,biomass,0.4427999999999999,DE0 0,,,2029.0
DE0 1 biomass,biomass,4.639,DE0 1,,,2029.0
DE0 10 biomass,biomass,5.19,DE0 10,,,2029.0
DE0 11 biomass,biomass,4.35,DE0 11,,,2029.0
DE0 13 biomass,biomass,5.874,DE0 13,,,2029.0
DE0 14 biomass,biomass,0.735,DE0 14,,,2029.0
DE0 15 biomass,biomass,2.081,DE0 15,,,2029.0
DE0 2 biomass,biomass,2.205,DE0 2,,,2029.0
DE0 3 biomass,biomass,4.497,DE0 3,,,2029.0
DE0 4 biomass,biomass,3.398,DE0 4,,,2029.0
DE0 5 biomass,biomass,1.473,DE0 5,,,2029.0
DE0 6 biomass,biomass,0.12,DE0 6,,,2029.0
DE0 7 biomass,biomass,0.314,DE0 7,,,2029.0
DE0 8 biomass,biomass,2.767,DE0 8,,,2029.0
DE0 9 biomass,biomass,0.348,DE0 9,,,2029.0
DE0 0 biomass,biomass,1.5375,DE0 0,,,2028.0
DE0 1 biomass,biomass,1.4,DE0 1,,,2028.0
DE0 10 biomass,biomass,0.045,DE0 10,,,2028.0
DE0 11 biomass,biomass,0.037,DE0 11,,,2028.0
DE0 12 biomass,biomass,0.875,DE0 12,,,2028.0
DE0 13 biomass,biomass,1.5075,DE0 13,,,2028.0
DE0 14 biomass,biomass,11.5,DE0 14,,,2028.0
DE0 15 biomass,biomass,0.485,DE0 15,,,2028.0
DE0 2 biomass,biomass,8.473,DE0 2,,,2028.0
DE0 3 biomass,biomass,4.041,DE0 3,,,2028.0
DE0 4 biomass,biomass,0.719,DE0 4,,,2028.0
DE0 5 biomass,biomass,2.9915000000000003,DE0 5,,,2028.0
DE0 7 biomass,biomass,0.37,DE0 7,,,2028.0
DE0 8 biomass,biomass,1.622,DE0 8,,,2028.0
DE0 9 biomass,biomass,1.772,DE0 9,,,2028.0
DE0 0 biomass,biomass,1.062,DE0 0,,,2027.0
DE0 1 biomass,biomass,5.538,DE0 1,,,2027.0
DE0 10 biomass,biomass,1.464,DE0 10,,,2027.0
DE0 11 biomass,biomass,6.464,DE0 11,,,2027.0
DE0 12 biomass,biomass,2.253,DE0 12,,,2027.0
DE0 13 biomass,biomass,1.737,DE0 13,,,2027.0
DE0 14 biomass,biomass,0.055,DE0 14,,,2027.0
DE0 15 biomass,biomass,0.25,DE0 15,,,2027.0
DE0 2 biomass,biomass,8.245,DE0 2,,,2027.0
DE0 3 biomass,biomass,2.036,DE0 3,,,2027.0
DE0 4 biomass,biomass,4.202,DE0 4,,,2027.0
DE0 7 biomass,biomass,1.485,DE0 7,,,2027.0
DE0 8 biomass,biomass,8.201,DE0 8,,,2027.0
DE0 9 biomass,biomass,0.03,DE0 9,,,2027.0
DE0 0 biomass,biomass,0.48,DE0 0,,,2026.0
DE0 1 biomass,biomass,0.09,DE0 1,,,2026.0
DE0 10 biomass,biomass,0.61,DE0 10,,,2026.0
DE0 11 biomass,biomass,0.33,DE0 11,,,2026.0
DE0 12 biomass,biomass,1.628,DE0 12,,,2026.0
DE0 13 biomass,biomass,1.325,DE0 13,,,2026.0
DE0 14 biomass,biomass,0.075,DE0 14,,,2026.0
DE0 15 biomass,biomass,4.35,DE0 15,,,2026.0
DE0 2 biomass,biomass,2.056,DE0 2,,,2026.0
DE0 3 biomass,biomass,0.52,DE0 3,,,2026.0
DE0 5 biomass,biomass,0.665,DE0 5,,,2026.0
DE0 7 biomass,biomass,0.167,DE0 7,,,2026.0
DE0 8 biomass,biomass,0.586,DE0 8,,,2026.0
DE0 9 biomass,biomass,0.855,DE0 9,,,2026.0
DE0 0 biomass,biomass,0.03,DE0 0,,,2025.0
DE0 1 biomass,biomass,0.25,DE0 1,,,2025.0
DE0 13 biomass,biomass,0.493,DE0 13,,,2025.0
DE0 14 biomass,biomass,0.8,DE0 14,,,2025.0
DE0 15 biomass,biomass,0.505,DE0 15,,,2025.0
DE0 2 biomass,biomass,4.934,DE0 2,,,2025.0
DE0 3 biomass,biomass,2.242,DE0 3,,,2025.0
DE0 4 biomass,biomass,0.8,DE0 4,,,2025.0
DE0 6 biomass,biomass,1.101,DE0 6,,,2025.0
DE0 7 biomass,biomass,1.835,DE0 7,,,2025.0
DE0 8 biomass,biomass,4.132,DE0 8,,,2025.0
DE0 9 biomass,biomass,0.1,DE0 9,,,2025.0
DE0 0 biomass,biomass,0.099,DE0 0,,,2024.0
DE0 10 biomass,biomass,0.508,DE0 10,,,2024.0
DE0 11 biomass,biomass,5.26,DE0 11,,,2024.0
DE0 13 biomass,biomass,1.139,DE0 13,,,2024.0
DE0 14 biomass,biomass,0.496,DE0 14,,,2024.0
DE0 15 biomass,biomass,0.25,DE0 15,,,2024.0
DE0 2 biomass,biomass,1.0,DE0 2,,,2024.0
DE0 3 biomass,biomass,0.284,DE0 3,,,2024.0
DE0 5 biomass,biomass,7.857,DE0 5,,,2024.0
DE0 6 biomass,biomass,0.07,DE0 6,,,2024.0
DE0 7 biomass,biomass,1.92,DE0 7,,,2024.0
DE0 8 biomass,biomass,8.513,DE0 8,,,2024.0
DE0 9 biomass,biomass,2.78,DE0 9,,,2024.0
DE0 0 biomass,biomass,0.4262,DE0 0,,,2023.0
DE0 1 biomass,biomass,3.972,DE0 1,,,2023.0
DE0 13 biomass,biomass,0.015,DE0 13,,,2023.0
DE0 15 biomass,biomass,0.112,DE0 15,,,2023.0
DE0 2 biomass,biomass,1.5,DE0 2,,,2023.0
DE0 3 biomass,biomass,0.25,DE0 3,,,2023.0
DE0 4 biomass,biomass,0.53,DE0 4,,,2023.0
DE0 6 biomass,biomass,0.028,DE0 6,,,2023.0
DE0 7 biomass,biomass,28.0,DE0 7,,,2023.0
DE0 8 biomass,biomass,0.265,DE0 8,,,2023.0
DE0 1 biomass,biomass,2.135,DE0 1,,,2022.0
DE0 13 biomass,biomass,0.4639999999999999,DE0 13,,,2022.0
DE0 14 biomass,biomass,1.248,DE0 14,,,2022.0
DE0 5 biomass,biomass,0.174,DE0 5,,,2022.0
DE0 8 biomass,biomass,0.15,DE0 8,,,2022.0
DE0 1 biomass,biomass,0.57,DE0 1,,,2021.0
DE0 13 biomass,biomass,0.245,DE0 13,,,2021.0
DE0 15 biomass,biomass,0.422,DE0 15,,,2021.0
DE0 3 biomass,biomass,2.2880000000000003,DE0 3,,,2021.0
DE0 7 biomass,biomass,0.259,DE0 7,,,2021.0
DE0 8 biomass,biomass,0.075,DE0 8,,,2021.0
DE0 1 biomass,biomass,0.36,DE0 1,,,2020.0
DE0 14 biomass,biomass,0.44,DE0 14,,,2020.0
DE0 3 biomass,biomass,1.167,DE0 3,,,2020.0
DE0 8 biomass,biomass,0.269,DE0 8,,,2020.0
DE0 9 biomass,biomass,2.676,DE0 9,,,2020.0
DE0 12 biomass,biomass,0.1,DE0 12,,,2019.0
DE0 15 biomass,biomass,0.2,DE0 15,,,2019.0
DE0 2 biomass,biomass,3.5,DE0 2,,,2019.0
DE0 5 biomass,biomass,0.12,DE0 5,,,2019.0
DE0 0 onwind,onwind,0.001,DE0 0,,,2044.0
DE0 0 solar,solar,164.639404,DE0 0,,,2044.0
DE0 1 onwind,onwind,105.6,DE0 1,,,2044.0
DE0 1 solar,solar,244.171631,DE0 1,,,2044.0
DE0 10 onwind,onwind,89.85000000000001,DE0 10,,,2044.0
DE0 10 solar,solar,65.365238,DE0 10,,,2044.0
DE0 11 offwind-ac,offwind-ac,8.4,DE0 11,,,2044.0
DE0 11 offwind-dc,offwind-dc,6.0,DE0 11,,,2044.0
DE0 11 onwind,onwind,110.07,DE0 11,,,2044.0
DE0 11 solar,solar,217.726876,DE0 11,,,2044.0
